title,link,pubDate
삼성전자 반도체 공식 사이트 | 삼성전자 DS부문 | 삼성반도체 - Samsung Semiconductor,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1BbzZQOE1tNFA1UkdrazduYmUxeEpmWkhBczRGUmhnaUdBZUUxVmZXVXkzN1V5NlZYVTNvenE0TXZucHdicWhtRG5xdy12UQ?oc=5,"Tue, 25 Jan 2022 15:28:31 GMT"
"삼성전자 위기론…시총 한달새 90조 증발, 왜 이러나? [뉴스in뉴스] - KBS뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5Qeld0a2Q1MUw1WTFuTVdKU2UyYXU2blR6dTR1ODRhb0FaRGgyS1M4Q3hLZnZha0UzdzB1Rm54Y09NcVpQZmEzemdmLU1MblJteGswYlh1cS02Qk0?oc=5,"Tue, 24 Sep 2024 07:00:00 GMT"
왜 삼성전자만 홀로 춥다 할까…‘어닝 쇼크’에 뒤따르는 질문들 - 한겨레,https://news.google.com/rss/articles/CBMiakFVX3lxTE5Mbm5mNXdRM0NWc0VzZWVYYTBqWmY0RS1xeUpUX0M1QVlJQTJvZHdxOUZJTUZRLXRaR1pfel9XYWRpR3VFeGFsbG5KcFNRaHlmTHFLM09TSHJmejFOOXpBUk5DWEp3QzJvNXc?oc=5,"Wed, 09 Oct 2024 23:13:00 GMT"
[사설] 우리가 알던 그 ‘삼성전자’ 어디로 갔나 - 조선일보,https://news.google.com/rss/articles/CBMihgFBVV95cUxPMmpmNEZRYnNFT0R6eWt1R0pHbVFxYXMwLVJrcmlBLWVteGUzZHNDWlJRMzVvM0tpSTZZNlNnRVdmWm9tMHlTXy1GUmdyMERNU0Y3N3hXeDc1dnF4RUh1UkpxcnVUNndvOHNGb2JuYVJNR1VOYzZZeHZQMDMyZjB0VS1IeDA5UdIBmgFBVV95cUxOajdfOENRdkotX3M5UGFUY1dOMGE0a0F5d3FGSy1idVRCYWxpY3Vya014WWw4ZEtndGtxN3NhS2E5Y0JwQ3ROQVo3X2R2ODZOUlB5bmRjaDM3WDBKRlBNTThtcWMxYVQxYmpyQlZvZ0Z0dHU4Rl82ZHNoMC1IcS1TZEJibEhjYVhxUjJUR1FuNkhHaktucFR0R3RB?oc=5,"Thu, 10 Oct 2024 07:00:00 GMT"
"""연휴 끝나자마자 이게 무슨 일""…삼성전자 개미들 '패닉' [한경우의 케이스스터디] - 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBnSXRISG1lUmhDVEhhakMxZlk2dVl1S2FWSTFUMXZ3SkRlVk5idnlkVWd6ZDE1Q1lFbmRTM0N3VTJialJMNGpEcC1JU2Zjd09NYVduaE5ERkJoUdIBVEFVX3lxTFBGRjRfclQ5TVZsZnhyOG9JYVhpYTVpV0JtTWNlSWhFelFIOTdTVm9uVEc2MDRoUHdxSEkwMnpTYjlpdkVTcU5aTzhmNUdYaWl3Rk94eg?oc=5,"Sat, 21 Sep 2024 07:00:00 GMT"
삼성전자 반도체의 재생에너지 - Samsung Semiconductor,https://news.google.com/rss/articles/CBMisgFBVV95cUxQWm5hMnJqZm5oREdwR2pab2VHYW40ZzFqVURFblJQaWx6RmFXXzBtVnIzSzYxS2g3ek94TElTSlZDWEkzekxBdVd0YkxPZjlXdVM0am9acjJWZ0JoTWRneEFBNkZtdkhoRzZ1RGNrSzBPejh0QmtJcklPdi05enlndWg5Nm5nLTVsWWwxaDFySGdzejFOVU54clFYV0VKQ3Y0YmFKVVNiYzhCb0pXalFBSVhn?oc=5,"Tue, 25 Jan 2022 15:29:57 GMT"
"삼성전자, 업계 최고 성능∙최대 용량 PC용 SSD PM9E1 양산 - Samsung Semiconductor",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNMWI3SWpWTHFMN0EzSkMwekZDVW1XSjU2SmJHdEhzWjRfT1RxV1lyNHNxSExmeW11X2loSW8xcS0zTlhTaEpMYjZoWkplX24zM0FUaHRpT3RqcTB1UkpSTmRZNUxZZzlUcmZaMTdnelZ1aDdUVUZpZGl4dUlTOEg3dWdjczJucWlBZ3c1X0Fudklhc1pNMVBmaHpQeXJjUUxwa0RIWWkwLWxEVEREalNnS3dYVmJDX3ZMN2RmTW03MG1STklSaVotaWtvdlViRWRySTBPaTdCaTFHd0RoUkozNw?oc=5,"Fri, 04 Oct 2024 07:00:00 GMT"
"삼성전자, 스마트싱스 생태계 확장 위해 현대자동차그룹과 전략적 협업 추진 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMixAJBVV95cUxNUnBxQUcybVR5QzJ3eXZNeEZNOXFDX0dOM2xUMVBJRDhpQkZId0JBNnNoVzd2QWJtRkFYeDVEYlhyWHRWUzM5WHFScTVOelg4TjVTWU8yc0p1cG5MdjlLOXU0SkFOVHV6YmdIZWQ2b3ppNldDS2dhT3ltbW9oaUxvZFNfZVVUS2REcHpiTEtFdEVvVi15WTd6RjRaN1RTSzQxWm13b1d3UzFQUFU2eUppSzlmRzZwMUVzM25idTdZMDljZC1JdGNMVVVRNFJGU1liWWM3MmhVWnZBTEdYOTBtVjBBci1IUkI3dzlyMzd4YTFaZmw5ZWlrOWxVcXRMZG1scVI5TXd3ZUpmNlJQdzVxVk1EdWY4aXhGc1BNa2lBbE84cl9oX1pXOGczNDYyamhJLTJxUGluaTdYQ19kbGtIaTZYeTE?oc=5,"Wed, 25 Sep 2024 07:00:00 GMT"
"삼성전자, ‘모두를 위한 AI’ 내세우며 IFA 2024 프레스 컨퍼런스 개최 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMivAJBVV95cUxNbnF3R29KQzNEUThXZW9TNTZCZnF5S2dpaU5URGJHczRpbXpSRmRwS0FEQllXekpDdTF2anFVcVpBbUNXMVNLaEphcW4zOUduanZfM0tQN25lQ2M5LTN1OWxhdmNyTmVaSFRQM1c2ejU0YXB5TU5SN2NUTnNUcFR2ZGV1VU55Uzg0cU40UFBnZXdvNzRMVmViQ1lNTDJzYVFwZ05iT1ZRMFVjcG04RUlmeldZZktiazVoQms2TERSMkdrQWZKRU9TWFF5V1U5b3ZFNW5hX2tyTG5VRGhPNG5WUjRlU3JkTXN5Z002aHNQX1NhTEM2djN4azhFbFdIdVg1SGdSa1dOTGo0N3VBRFl5WFJuWkJmVGxSazlHWlpDcldxaHhiLUgzOGt6Z1lHZTBWVjVxQmNydDRmTGhD?oc=5,"Thu, 05 Sep 2024 07:00:00 GMT"
"삼성전자, ‘AI 가전’ 150만 대 판매 돌파 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQQWQ1VHB4ODdKUGpkT0xoTENMczlFOTdoeUVuUXBsT3NtOEo2QUFMZ0J0Y1hHcHRxRzBpdlFyUTRtd3dneUpaWjQ1NWFuNTc3NmpaOXBSa2twMkJ3eEJ1c1JuTmliSmJxOW1sSVVwVkRZMWJ6YWNkbFQ0NUJ2UFo0VEFsNE5KTkZkeWRkdURxS09hQWdISHhvdjZTWnJSUU1sNk5hdXAzRXBrNFI0Ri1taHc2ald3U194VnVyUzdMenFPMUJKWGVpQlRIZ2pMbHZ6STdlYVpBc255S1o3clNRMg?oc=5,"Thu, 15 Aug 2024 07:00:00 GMT"
"삼성전자, ‘삼성 개발자 콘퍼런스 2024’ 개최 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMiggJBVV95cUxPb2E3NU1WYlg4ZjFWdDhOU3ZCaFhocHFXQ013dGFaa1BMX0VSOGFVR3YzSThsZlowS1BrYlduVlk0U2R5dTEyQ3I1dFMxdENmM1RxdVhYQV9GMXFOTGFoMGRMQllXYUR0UVU3U0ZPak9fQ0Vib2x5bmxFNlRzUW9IQS1qekxKaW83b0hoUENMd0xLNjJMVjdmZXQxdVRwVHBTa3hnR3FBU082YmdDYTRjQkFjanF1NWZickkxWHNVVFNvNzFRU0Q1dWlROFVoQlhXUW9QcDZYTDF2OExmcWJCSXNlZ28xYXJQYmVLNXRpbXFNbG9UWlZ0VS1aSWE4R2NsMlE?oc=5,"Thu, 29 Aug 2024 07:00:00 GMT"
"삼성전자, 英 지식 그래프 기술 스타트업 ‘옥스퍼드 시멘틱 테크놀로지스’ 인수 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMixwJBVV95cUxNWnlOY3o3YWNaSFdRazNScFl3YTRGek1PLWx3UEJtSGpLYnFINXRPY1ZOanF5NkxrRy15VG9hM1ZzUEIyZ1kyUmdDelcydWE3ajBWZUk4REd5bGNjLWxkejUyTm5CdTNtcWMwdGx5eXVBenVkeWtIbzFDYjJlNjR5UG9aVGxidnNmUFR3dGRoMXhLQnN3ZWNaZkdBVFlkTjNwNm1YVGdadV9RMTBIcFRic1hvNjIwclRnWjJlYTc5bFQ3cWtvd0tiZ1M3Y1BQX0U4eFBhaWxmTTBoUkJ6VFFHWER2WXhXbmFaV0JEa05aQ2pBZWFobnMxRmFtLTYwQU9zVTlLTlFJRFVNeldRdHZwbkkteXdjZVRWeFN4czc1YWV3Z0J1TVZjSnVRcXNxaERHQlp6bkZ1Sm56UF85OHR1ZEc2WERJNHc?oc=5,"Thu, 18 Jul 2024 07:00:00 GMT"
